1000 17.38 00.22 05.13 11.15 35.15
1001 20.00 17.72 15.43 13.15 34.65
1002 18.27 17.72 12.73 03.50 34.15
1003 20.00 17.72 15.43 13.15 33.65
1004 16.34 17.72 15.24 19.05 33.15
1005 20.00 17.72 15.43 13.15 32.65
1006 19.19 17.72 12.65 12.15 32.15
1007 20.00 17.72 15.43 13.15 31.65
1008 19.04 17.72 10.54 13.15 31.15
1009 20.00 18.7 19.8 17.90 30.65
1010 16.10 17.72 15.62 20.00 30.15
1011 20.00 17.72 15.43 13.15 29.65
1012 15.30 17.72 12.41 13.15 29.15
1013 10.00 07.72 05.43 10.15 15.65
1014 20.62 17.72 15.35 13.10 28.15
1015 10 8 7 5 13
1016 18.50 17.72 19.43 15.31 27.15
1017 20.00 17.72 15.43 13.15 26.65
1018 13.20 17.72 10.41 18.85 26.15
1019 20.00 17.72 15.43 13.15 25.65
